Date,BRKa,US10YT=RR,AMT,GLD,BLK,BX,IVZ,LAZ,KKR,IEP.O
2011-01-03,120498.0,3.336,51.63,138.0,190.19,14.5037673717648,24.46,35.36602676150717,14.5,34.29420996905684
2011-01-04,120200.0,3.338,51.47,134.75,190.04,14.6802838103664,24.41,35.143150363968054,14.45,34.27598367564671
2011-01-05,121300.0,3.463,50.76,134.37,192.0,14.670477341555202,24.39,36.34668291067929,15.14,34.53402961919011
2011-01-06,120600.0,3.403,50.62,133.83,189.93,14.690090279177602,24.35,37.050972326902915,15.23,34.51484404717944
2011-01-07,119681.0,3.326,50.5,133.58,188.36,14.6214449974992,24.33,36.58738942002154,14.97,35.24389578358458
2011-01-10,119557.99,3.287,50.41,134.12,191.17,14.474347965331201,24.25,37.050972326902915,15.09,35.291859713611224
2011-01-11,119005.0,3.34,50.47,134.91,193.42,14.660670872744,24.76,36.524984028710584,15.0,34.390137829110145
2011-01-12,120910.0,3.381,50.7,135.46,193.84,14.9842843435136,24.88,37.51455523378426,15.22,34.59158633522209
2011-01-13,121200.0,3.303,50.75,134.05,195.81,15.396156033583999,24.73,37.683941295913996,15.65,34.562807977206106
2011-01-14,122475.0,3.331,49.85,132.69,199.06,15.651124222675202,25.0,38.04945858787814,15.68,35.26308135559523
2011-01-18,122810.0,3.37,49.49,133.43,196.52,15.0137037499472,24.98,38.47738127115325,15.7,35.06163284948329
2011-01-19,121250.0,3.337,49.18,133.72,191.56,14.8273808425344,24.59,37.19361322132793,15.25,35.06163284948329
2011-01-20,121050.0,3.455,50.32,131.2,190.87,15.033316687569602,23.92,37.88007252574842,15.04,34.76425648331804
2011-01-21,120526.0,3.408,50.52,131.03,193.07,15.651124222675202,23.92,38.869643730822105,15.11,34.62995747924341
2011-01-24,124400.0,3.404,51.01,130.36,193.58,15.631511285052799,24.11,38.36148554443292,15.07,34.73547812530204
2011-01-25,124680.0,3.33,51.37,130.1,198.01,15.454994846451202,23.9,37.87115746984685,14.83,36.87466940449077
2011-01-26,124550.0,3.421,51.94,131.16,199.96,15.5040271905072,23.77,37.84441230214216,14.96,37.843540791029156
2011-01-27,124300.0,3.389,52.0,127.925,201.73,15.808027723654403,24.83,37.1757831095248,14.98,37.402272634783955
2011-01-28,122624.0,3.329,51.32,130.28,194.28,15.278478407849601,24.66,36.64979481133249,14.99,37.04733955258672
2011-01-31,122425.0,3.374,50.86,129.87,198.02,15.425575440017601,24.74,37.19361322132793,14.99,38.85078332158888
2011-02-01,125200.0,3.435,51.78,130.8,201.23,16.004157099878398,25.31,38.12077903509066,15.54,39.01386068367949
2011-02-02,123710.0,3.479,51.91,130.45,197.64,16.3473835082704,24.98,39.44912236442381,15.98,39.44553605391936
2011-02-03,124600.0,3.547,52.68,132.2,196.82,17.0240298562432,25.01,40.42977851359593,16.61,39.522279301240616
2011-02-04,124890.0,3.64,53.59,131.66,194.35,16.867126355264,25.4,40.11775155704116,16.99,39.704541276063296
2011-02-07,126200.0,3.64,53.66,131.68,196.0,16.8377069488304,25.6,40.20690211605681,16.78,39.896396996169905
2011-02-08,126437.0,3.737,54.28,133.14,199.37,16.965191043376002,25.39,39.761149320978575,16.29,40.241737292361805
2011-02-09,125830.0,3.652,54.59,133.07,199.62,16.42583525876,25.1,40.34954301048184,16.24,40.16499500431917
2011-02-10,126650.0,3.702,55.0,132.85,200.71,16.7298357919072,25.25,40.11775155704116,16.17,40.15540221831383
2011-02-11,127400.0,3.638,56.73,132.3225,203.42,16.827900480019203,25.75,39.689828873766054,16.08,40.433593012468414
2011-02-14,127850.0,3.621,56.01,132.95,205.01,17.1515139507888,26.02,39.93945043900986,16.27,40.65422709059102
2011-02-15,127510.0,3.604,55.81,133.97,205.66,17.3476433270128,26.5,40.608079631627206,16.27,40.433593012468414
2011-02-16,127275.0,3.623,55.62,134.1,205.34,17.357449795824,27.34,40.964681867689805,16.27,40.8364900246923
